label,function,sample,latency_ms
o7p1-majority,RegisterDocument,243,2708.22
o7p1-majority,RegisterDocument,244,2708.38
o7p1-majority,RegisterDocument,245,2708.53
o7p1-majority,RegisterDocument,246,2708.74
o7p1-majority,RegisterDocument,247,2708.79
o7p1-majority,RegisterDocument,248,2708.90
o7p1-majority,RegisterDocument,249,2709.28
o7p1-majority,RegisterDocument,250,2709.29
o7p1-majority,RegisterDocument,251,2709.44
o7p1-majority,RegisterDocument,252,2709.71
o7p1-majority,RegisterDocument,253,2709.77
o7p1-majority,RegisterDocument,254,2709.82
o7p1-majority,RegisterDocument,255,2709.89
o7p1-majority,RegisterDocument,256,2710.23
o7p1-majority,RegisterDocument,257,2710.27
o7p1-majority,RegisterDocument,258,2710.31
o7p1-majority,RegisterDocument,259,2710.40
o7p1-majority,RegisterDocument,260,2710.46
o7p1-majority,RegisterDocument,261,2710.53
o7p1-majority,RegisterDocument,262,2710.83
o7p1-majority,RegisterDocument,263,2711.15
o7p1-majority,RegisterDocument,264,2711.56
o7p1-majority,RegisterDocument,265,2711.73
o7p1-majority,RegisterDocument,266,2711.92
o7p1-majority,RegisterDocument,267,2712.04
o7p1-majority,RegisterDocument,268,2712.22
o7p1-majority,RegisterDocument,269,2712.30
o7p1-majority,RegisterDocument,270,2713.36
o7p1-majority,RegisterDocument,271,2713.43
o7p1-majority,RegisterDocument,272,2713.61
o7p1-majority,RegisterDocument,273,2713.66
o7p1-majority,RegisterDocument,274,2713.71
o7p1-majority,RegisterDocument,275,2713.82
o7p1-majority,RegisterDocument,276,2714.03
o7p1-majority,RegisterDocument,277,2714.19
o7p1-majority,RegisterDocument,278,2714.22
o7p1-majority,RegisterDocument,279,2714.36
o7p1-majority,RegisterDocument,280,2714.42
o7p1-majority,RegisterDocument,281,2714.46
o7p1-majority,RegisterDocument,282,2714.51
o7p1-majority,RegisterDocument,283,2714.53
o7p1-majority,RegisterDocument,284,2714.64
o7p1-majority,RegisterDocument,285,2714.95
o7p1-majority,RegisterDocument,286,2715.00
o7p1-majority,RegisterDocument,287,2715.00
o7p1-majority,RegisterDocument,288,2715.06
o7p1-majority,RegisterDocument,289,2715.23
o7p1-majority,RegisterDocument,290,2715.23
o7p1-majority,RegisterDocument,291,2715.29
o7p1-majority,RegisterDocument,292,2715.40
o7p1-majority,RegisterDocument,293,2715.65
o7p1-majority,RegisterDocument,294,2715.79
o7p1-majority,RegisterDocument,295,2716.02
o7p1-majority,RegisterDocument,296,2716.57
o7p1-majority,RegisterDocument,297,2716.95
o7p1-majority,RegisterDocument,298,2716.96
o7p1-majority,RegisterDocument,299,2717.09
o7p1-majority,RegisterDocument,300,2717.18
o7p1-majority,RegisterDocument,301,2717.25
o7p1-majority,RegisterDocument,302,2717.32
o7p1-majority,RegisterDocument,303,2717.54
o7p1-majority,RegisterDocument,304,2717.58
o7p1-majority,RegisterDocument,305,2718.23
o7p1-majority,RegisterDocument,306,2718.25
o7p1-majority,RegisterDocument,307,2718.52
o7p1-majority,RegisterDocument,308,2718.98
o7p1-majority,RegisterDocument,309,2719.02
o7p1-majority,RegisterDocument,310,2719.06
o7p1-majority,RegisterDocument,311,2719.13
o7p1-majority,RegisterDocument,312,2719.13
o7p1-majority,RegisterDocument,313,2719.50
o7p1-majority,RegisterDocument,314,2719.53
o7p1-majority,RegisterDocument,315,2719.63
o7p1-majority,RegisterDocument,316,2719.83
o7p1-majority,RegisterDocument,317,2720.28
o7p1-majority,RegisterDocument,318,2720.34
o7p1-majority,RegisterDocument,319,2720.36
o7p1-majority,RegisterDocument,320,2720.53
o7p1-majority,RegisterDocument,321,2720.55
o7p1-majority,RegisterDocument,322,2720.85
o7p1-majority,RegisterDocument,323,2720.88
o7p1-majority,RegisterDocument,324,2720.95
o7p1-majority,RegisterDocument,325,2721.13
o7p1-majority,RegisterDocument,326,2721.14
o7p1-majority,RegisterDocument,327,2721.38
o7p1-majority,RegisterDocument,328,2721.41
o7p1-majority,RegisterDocument,329,2721.60
o7p1-majority,RegisterDocument,330,2721.65
o7p1-majority,RegisterDocument,331,2721.73
o7p1-majority,RegisterDocument,332,2721.82
o7p1-majority,RegisterDocument,333,2721.85
o7p1-majority,RegisterDocument,334,2721.89
o7p1-majority,RegisterDocument,335,2721.94
o7p1-majority,RegisterDocument,336,2721.98
o7p1-majority,RegisterDocument,337,2722.01
o7p1-majority,RegisterDocument,338,2722.30
o7p1-majority,RegisterDocument,339,2722.50
o7p1-majority,RegisterDocument,340,2722.61
o7p1-majority,RegisterDocument,341,2722.68
o7p1-majority,RegisterDocument,342,2723.05
o7p1-majority,RegisterDocument,343,2723.12
o7p1-majority,RegisterDocument,344,2723.14
o7p1-majority,RegisterDocument,345,2723.15
o7p1-majority,RegisterDocument,346,2723.35
o7p1-majority,RegisterDocument,347,2723.43
o7p1-majority,RegisterDocument,348,2723.71
o7p1-majority,RegisterDocument,349,2723.72
o7p1-majority,RegisterDocument,350,2723.76
o7p1-majority,RegisterDocument,351,2723.94
o7p1-majority,RegisterDocument,352,2724.06
o7p1-majority,RegisterDocument,353,2724.06
o7p1-majority,RegisterDocument,354,2724.13
o7p1-majority,RegisterDocument,355,2724.39
o7p1-majority,RegisterDocument,356,2724.47
o7p1-majority,RegisterDocument,357,2724.58
o7p1-majority,RegisterDocument,358,2724.67
o7p1-majority,RegisterDocument,359,2724.77
o7p1-majority,RegisterDocument,360,2724.91
o7p1-majority,RegisterDocument,361,2725.09
o7p1-majority,RegisterDocument,362,2725.18
o7p1-majority,RegisterDocument,363,2725.20
o7p1-majority,RegisterDocument,364,2725.23
o7p1-majority,RegisterDocument,365,2725.46
o7p1-majority,RegisterDocument,366,2725.87
o7p1-majority,RegisterDocument,367,2725.88
o7p1-majority,RegisterDocument,368,2725.97
o7p1-majority,RegisterDocument,369,2726.09
o7p1-majority,RegisterDocument,370,2726.25
o7p1-majority,RegisterDocument,371,2726.34
o7p1-majority,RegisterDocument,372,2726.37
o7p1-majority,RegisterDocument,373,2726.39
o7p1-majority,RegisterDocument,374,2726.65
o7p1-majority,RegisterDocument,375,2726.72
o7p1-majority,RegisterDocument,376,2726.83
o7p1-majority,RegisterDocument,377,2726.91
o7p1-majority,RegisterDocument,378,2726.99
o7p1-majority,RegisterDocument,379,2727.14
o7p1-majority,RegisterDocument,380,2727.24
o7p1-majority,RegisterDocument,381,2727.35
o7p1-majority,RegisterDocument,382,2727.46
o7p1-majority,RegisterDocument,383,2727.67
o7p1-majority,RegisterDocument,384,2727.75
o7p1-majority,RegisterDocument,385,2727.95
o7p1-majority,RegisterDocument,386,2728.04
o7p1-majority,RegisterDocument,387,2728.08
o7p1-majority,RegisterDocument,388,2728.13
o7p1-majority,RegisterDocument,389,2728.21
o7p1-majority,RegisterDocument,390,2728.22
o7p1-majority,RegisterDocument,391,2728.31
o7p1-majority,RegisterDocument,392,2728.43
o7p1-majority,RegisterDocument,393,2728.62
o7p1-majority,RegisterDocument,394,2728.98
o7p1-majority,RegisterDocument,395,2729.28
o7p1-majority,RegisterDocument,396,2729.41
o7p1-majority,RegisterDocument,397,2729.45
o7p1-majority,RegisterDocument,398,2729.53
o7p1-majority,RegisterDocument,399,2729.56
o7p1-majority,RegisterDocument,400,2729.75
o7p1-majority,RegisterDocument,401,2729.84
o7p1-majority,RegisterDocument,402,2729.91
o7p1-majority,RegisterDocument,403,2729.95
o7p1-majority,RegisterDocument,404,2730.03
o7p1-majority,RegisterDocument,405,2730.04
o7p1-majority,RegisterDocument,406,2730.09
o7p1-majority,RegisterDocument,407,2730.22
o7p1-majority,RegisterDocument,408,2730.36
o7p1-majority,RegisterDocument,409,2730.39
o7p1-majority,RegisterDocument,410,2730.43
o7p1-majority,RegisterDocument,411,2730.51
o7p1-majority,RegisterDocument,412,2730.59
o7p1-majority,RegisterDocument,413,2730.64
o7p1-majority,RegisterDocument,414,2730.77
o7p1-majority,RegisterDocument,415,2730.79
o7p1-majority,RegisterDocument,416,2731.20
o7p1-majority,RegisterDocument,417,2731.25
o7p1-majority,RegisterDocument,418,2731.26
o7p1-majority,RegisterDocument,419,2731.29
o7p1-majority,RegisterDocument,420,2731.32
o7p1-majority,RegisterDocument,421,2731.36
o7p1-majority,RegisterDocument,422,2732.13
o7p1-majority,RegisterDocument,423,2732.28
o7p1-majority,RegisterDocument,424,2732.39
o7p1-majority,RegisterDocument,425,2732.40
o7p1-majority,RegisterDocument,426,2732.55
o7p1-majority,RegisterDocument,427,2732.73
o7p1-majority,RegisterDocument,428,2732.81
o7p1-majority,RegisterDocument,429,2733.05
o7p1-majority,RegisterDocument,430,2733.06
o7p1-majority,RegisterDocument,431,2733.29
o7p1-majority,RegisterDocument,432,2733.31
o7p1-majority,RegisterDocument,433,2733.31
o7p1-majority,RegisterDocument,434,2733.32
o7p1-majority,RegisterDocument,435,2733.35
o7p1-majority,RegisterDocument,436,2733.37
o7p1-majority,RegisterDocument,437,2733.45
o7p1-majority,RegisterDocument,438,2733.52
o7p1-majority,RegisterDocument,439,2733.63
o7p1-majority,RegisterDocument,440,2733.74
o7p1-majority,RegisterDocument,441,2733.75
o7p1-majority,RegisterDocument,442,2733.94
o7p1-majority,RegisterDocument,443,2733.94
o7p1-majority,RegisterDocument,444,2734.01
o7p1-majority,RegisterDocument,445,2734.25
o7p1-majority,RegisterDocument,446,2734.39
o7p1-majority,RegisterDocument,447,2734.55
o7p1-majority,RegisterDocument,448,2734.59
o7p1-majority,RegisterDocument,449,2734.62
o7p1-majority,RegisterDocument,450,2734.65
o7p1-majority,RegisterDocument,451,2734.71
o7p1-majority,RegisterDocument,452,2734.79
o7p1-majority,RegisterDocument,453,2734.96
o7p1-majority,RegisterDocument,454,2734.97
o7p1-majority,RegisterDocument,455,2735.03
o7p1-majority,RegisterDocument,456,2735.03
o7p1-majority,RegisterDocument,457,2735.13
o7p1-majority,RegisterDocument,458,2735.34
o7p1-majority,RegisterDocument,459,2735.48
o7p1-majority,RegisterDocument,460,2735.57
o7p1-majority,RegisterDocument,461,2735.58
o7p1-majority,RegisterDocument,462,2735.62
o7p1-majority,RegisterDocument,463,2735.96
o7p1-majority,RegisterDocument,464,2736.05
o7p1-majority,RegisterDocument,465,2736.16
o7p1-majority,RegisterDocument,466,2736.22
o7p1-majority,RegisterDocument,467,2736.40
o7p1-majority,RegisterDocument,468,2736.44
o7p1-majority,RegisterDocument,469,2736.49
o7p1-majority,RegisterDocument,470,2736.51
o7p1-majority,RegisterDocument,471,2736.67
o7p1-majority,RegisterDocument,472,2736.71
o7p1-majority,RegisterDocument,473,2736.74
o7p1-majority,RegisterDocument,474,2736.75
o7p1-majority,RegisterDocument,475,2737.08
o7p1-majority,RegisterDocument,476,2737.12
o7p1-majority,RegisterDocument,477,2737.51
o7p1-majority,RegisterDocument,478,2737.53
o7p1-majority,RegisterDocument,479,2737.84
o7p1-majority,RegisterDocument,480,2738.20
o7p1-majority,RegisterDocument,481,2738.35
o7p1-majority,RegisterDocument,482,2738.47
o7p1-majority,RegisterDocument,483,2738.59
o7p1-majority,RegisterDocument,484,2738.61
o7p1-majority,RegisterDocument,485,2738.68
o7p1-majority,RegisterDocument,486,2738.70
o7p1-majority,RegisterDocument,487,2738.75
o7p1-majority,RegisterDocument,488,2738.99
o7p1-majority,RegisterDocument,489,2739.00
o7p1-majority,RegisterDocument,490,2739.10
o7p1-majority,RegisterDocument,491,2739.27
o7p1-majority,RegisterDocument,492,2739.43
o7p1-majority,RegisterDocument,493,2739.45
