experiment,operation,trial,runtime,platform,user_agent,node_version,browser_name,browser_version,input_size_bytes,latency_ms,output_size_bytes,notes
exp6_crypto,ecies_p256_wrap_32b_doc_key,2,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,32,0.769861,125,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Token is raw ephemeral public key + IV + AES-GCM ciphertext/tag. ECDH shared secret run through HKDF-SHA256 (v2).
exp6_crypto,ecies_p256_wrap_32b_doc_key,3,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,32,0.721991,125,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Token is raw ephemeral public key + IV + AES-GCM ciphertext/tag. ECDH shared secret run through HKDF-SHA256 (v2).
exp6_crypto,ecies_p256_wrap_32b_doc_key,4,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,32,0.718276,125,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Token is raw ephemeral public key + IV + AES-GCM ciphertext/tag. ECDH shared secret run through HKDF-SHA256 (v2).
exp6_crypto,ecies_p256_wrap_32b_doc_key,5,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,32,0.621053,125,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Token is raw ephemeral public key + IV + AES-GCM ciphertext/tag. ECDH shared secret run through HKDF-SHA256 (v2).
exp6_crypto,ecies_p256_wrap_32b_doc_key,6,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,32,0.755072,125,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Token is raw ephemeral public key + IV + AES-GCM ciphertext/tag. ECDH shared secret run through HKDF-SHA256 (v2).
exp6_crypto,ecies_p256_wrap_32b_doc_key,7,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,32,0.687974,125,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Token is raw ephemeral public key + IV + AES-GCM ciphertext/tag. ECDH shared secret run through HKDF-SHA256 (v2).
exp6_crypto,ecies_p256_wrap_32b_doc_key,8,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,32,0.677686,125,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Token is raw ephemeral public key + IV + AES-GCM ciphertext/tag. ECDH shared secret run through HKDF-SHA256 (v2).
exp6_crypto,ecies_p256_wrap_32b_doc_key,9,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,32,4.466506,125,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Token is raw ephemeral public key + IV + AES-GCM ciphertext/tag. ECDH shared secret run through HKDF-SHA256 (v2).
exp6_crypto,ecies_p256_wrap_32b_doc_key,10,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,32,1.042795,125,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Token is raw ephemeral public key + IV + AES-GCM ciphertext/tag. ECDH shared secret run through HKDF-SHA256 (v2).
exp6_crypto,ecies_p256_unwrap_32b_doc_key,1,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,125,1.308238,32,"Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Imports raw ephemeral P-256 public key, HKDF-SHA256 over the shared secret, decrypts AES-GCM."
