checkpoint,function,sample,doc_id,latency_ms
10000,GetDocumentHistory,55,LG-6301,7.00
10000,GetDocumentHistory,56,LG-2141,7.29
10000,GetDocumentHistory,57,LG-3684,5.18
10000,GetDocumentHistory,58,LG-4293,7.10
10000,GetDocumentHistory,59,LG-4817,5.09
10000,GetDocumentHistory,60,LG-4456,6.65
10000,GetDocumentHistory,61,LG-3646,6.49
10000,GetDocumentHistory,62,LG-4611,5.02
10000,GetDocumentHistory,63,LG-4026,7.29
10000,GetDocumentHistory,64,LG-6681,7.15
10000,GetDocumentHistory,65,LG-3642,5.38
10000,GetDocumentHistory,66,LG-9388,4.55
10000,GetDocumentHistory,67,LG-4777,5.48
10000,GetDocumentHistory,68,LG-1681,4.89
10000,GetDocumentHistory,69,LG-5994,4.83
10000,GetDocumentHistory,70,LG-8682,5.69
10000,GetDocumentHistory,71,LG-7525,7.00
10000,GetDocumentHistory,72,LG-6432,9.39
10000,GetDocumentHistory,73,LG-6692,6.19
10000,GetDocumentHistory,74,LG-6090,6.35
10000,GetDocumentHistory,75,LG-7572,7.17
10000,GetDocumentHistory,76,LG-727,3.87
10000,GetDocumentHistory,77,LG-5271,3.85
10000,GetDocumentHistory,78,LG-958,5.12
10000,GetDocumentHistory,79,LG-7586,5.18
10000,GetDocumentHistory,80,LG-1387,6.45
10000,GetDocumentHistory,81,LG-7915,7.57
10000,GetDocumentHistory,82,LG-2116,5.39
10000,GetDocumentHistory,83,LG-7443,3.78
10000,GetDocumentHistory,84,LG-2804,4.37
10000,GetDocumentHistory,85,LG-2374,7.23
10000,GetDocumentHistory,86,LG-1355,8.36
10000,GetDocumentHistory,87,LG-5468,6.36
10000,GetDocumentHistory,88,LG-392,8.04
10000,GetDocumentHistory,89,LG-4718,6.51
10000,GetDocumentHistory,90,LG-7843,8.17
10000,GetDocumentHistory,91,LG-8586,7.17
10000,GetDocumentHistory,92,LG-3713,8.35
10000,GetDocumentHistory,93,LG-626,6.40
10000,GetDocumentHistory,94,LG-3038,5.24
10000,GetDocumentHistory,95,LG-8793,5.60
10000,GetDocumentHistory,96,LG-6520,4.26
10000,GetDocumentHistory,97,LG-7052,5.42
10000,GetDocumentHistory,98,LG-1178,8.94
10000,GetDocumentHistory,99,LG-9336,5.68
100000,CheckAccess,0,LG-2300,7.46
100000,CheckAccess,1,LG-38899,7.95
100000,CheckAccess,2,LG-20391,9.71
100000,CheckAccess,3,LG-97498,10.87
100000,CheckAccess,4,LG-28140,9.36
100000,CheckAccess,5,LG-95486,6.33
100000,CheckAccess,6,LG-58836,7.97
100000,CheckAccess,7,LG-5446,11.41
100000,CheckAccess,8,LG-54501,11.02
100000,CheckAccess,9,LG-31037,7.68
100000,CheckAccess,10,LG-16110,7.42
100000,CheckAccess,11,LG-88617,6.30
100000,CheckAccess,12,LG-39379,7.05
100000,CheckAccess,13,LG-83490,8.29
100000,CheckAccess,14,LG-39040,6.74
100000,CheckAccess,15,LG-91423,8.16
100000,CheckAccess,16,LG-2344,5.87
100000,CheckAccess,17,LG-43166,8.39
100000,CheckAccess,18,LG-33104,7.15
100000,CheckAccess,19,LG-28188,5.93
100000,CheckAccess,20,LG-38648,5.89
100000,CheckAccess,21,LG-60427,9.03
100000,CheckAccess,22,LG-86016,8.37
100000,CheckAccess,23,LG-38595,9.24
100000,CheckAccess,24,LG-4090,7.00
100000,CheckAccess,25,LG-62620,8.98
100000,CheckAccess,26,LG-24215,7.05
100000,CheckAccess,27,LG-58743,8.45
100000,CheckAccess,28,LG-75593,10.90
100000,CheckAccess,29,LG-94331,9.48
100000,CheckAccess,30,LG-13122,8.18
100000,CheckAccess,31,LG-27501,8.96
100000,CheckAccess,32,LG-73286,6.08
100000,CheckAccess,33,LG-81621,6.50
100000,CheckAccess,34,LG-27876,6.51
100000,CheckAccess,35,LG-3144,7.03
100000,CheckAccess,36,LG-74077,10.80
100000,CheckAccess,37,LG-58757,6.51
100000,CheckAccess,38,LG-39137,7.26
100000,CheckAccess,39,LG-29332,8.65
100000,CheckAccess,40,LG-6187,6.09
100000,CheckAccess,41,LG-63446,7.39
100000,CheckAccess,42,LG-87578,6.91
100000,CheckAccess,43,LG-17739,7.27
100000,CheckAccess,44,LG-87636,6.92
100000,CheckAccess,45,LG-29923,5.51
100000,CheckAccess,46,LG-81924,5.85
100000,CheckAccess,47,LG-69352,5.46
100000,CheckAccess,48,LG-82902,6.61
100000,CheckAccess,49,LG-59102,7.45
100000,CheckAccess,50,LG-97711,5.20
100000,CheckAccess,51,LG-39294,6.53
100000,CheckAccess,52,LG-30454,8.18
100000,CheckAccess,53,LG-63307,5.49
100000,CheckAccess,54,LG-89148,5.67
100000,CheckAccess,55,LG-69451,6.01
100000,CheckAccess,56,LG-73740,8.32
100000,CheckAccess,57,LG-30973,6.86
100000,CheckAccess,58,LG-10561,7.86
100000,CheckAccess,59,LG-69566,8.51
100000,CheckAccess,60,LG-44255,8.14
100000,CheckAccess,61,LG-55106,7.39
100000,CheckAccess,62,LG-72194,9.72
100000,CheckAccess,63,LG-40818,8.06
100000,CheckAccess,64,LG-62294,7.14
100000,CheckAccess,65,LG-30026,7.18
100000,CheckAccess,66,LG-50368,6.67
100000,CheckAccess,67,LG-87461,6.30
100000,CheckAccess,68,LG-50431,11.13
100000,CheckAccess,69,LG-72309,9.64
100000,CheckAccess,70,LG-59562,10.08
100000,CheckAccess,71,LG-20064,7.06
100000,CheckAccess,72,LG-34286,7.38
100000,CheckAccess,73,LG-26113,8.35
100000,CheckAccess,74,LG-60982,6.65
100000,CheckAccess,75,LG-39672,8.24
100000,CheckAccess,76,LG-18498,7.00
100000,CheckAccess,77,LG-74894,7.58
100000,CheckAccess,78,LG-83514,7.83
100000,CheckAccess,79,LG-25091,9.65
100000,CheckAccess,80,LG-61034,9.09
100000,CheckAccess,81,LG-52304,7.95
100000,CheckAccess,82,LG-12952,6.00
100000,CheckAccess,83,LG-70060,6.87
100000,CheckAccess,84,LG-64925,9.30
100000,CheckAccess,85,LG-17621,9.37
100000,CheckAccess,86,LG-86411,8.94
100000,CheckAccess,87,LG-70482,7.74
100000,CheckAccess,88,LG-47017,9.70
100000,CheckAccess,89,LG-44921,6.18
100000,CheckAccess,90,LG-45959,6.12
100000,CheckAccess,91,LG-46848,7.02
100000,CheckAccess,92,LG-14422,9.51
100000,CheckAccess,93,LG-45705,10.70
100000,CheckAccess,94,LG-58500,9.81
100000,CheckAccess,95,LG-1036,10.49
100000,CheckAccess,96,LG-86613,9.36
100000,CheckAccess,97,LG-44126,7.68
100000,CheckAccess,98,LG-76378,6.84
100000,CheckAccess,99,LG-43147,5.74
100000,GetDocumentHistory,0,LG-99190,6.01
100000,GetDocumentHistory,1,LG-96530,6.81
100000,GetDocumentHistory,2,LG-65693,6.26
100000,GetDocumentHistory,3,LG-26217,5.65
100000,GetDocumentHistory,4,LG-81276,4.76
100000,GetDocumentHistory,5,LG-75304,4.96
100000,GetDocumentHistory,6,LG-29027,5.21
100000,GetDocumentHistory,7,LG-43566,6.39
100000,GetDocumentHistory,8,LG-55020,7.41
100000,GetDocumentHistory,9,LG-80721,6.34
100000,GetDocumentHistory,10,LG-98121,3.88
100000,GetDocumentHistory,11,LG-43993,7.36
100000,GetDocumentHistory,12,LG-55952,4.46
100000,GetDocumentHistory,13,LG-98485,3.92
100000,GetDocumentHistory,14,LG-96217,6.08
100000,GetDocumentHistory,15,LG-39355,5.32
100000,GetDocumentHistory,16,LG-51678,5.55
100000,GetDocumentHistory,17,LG-42262,8.22
100000,GetDocumentHistory,18,LG-56555,4.92
100000,GetDocumentHistory,19,LG-17737,4.89
