label,function,sample,latency_ms
o2p1-single,RegisterDocument,310,2245.93
o2p1-single,RegisterDocument,311,2246.16
o2p1-single,RegisterDocument,312,2246.17
o2p1-single,RegisterDocument,313,2246.23
o2p1-single,RegisterDocument,314,2246.25
o2p1-single,RegisterDocument,315,2246.45
o2p1-single,RegisterDocument,316,2246.73
o2p1-single,RegisterDocument,317,2246.91
o2p1-single,RegisterDocument,318,2247.47
o2p1-single,RegisterDocument,319,2247.49
o2p1-single,RegisterDocument,320,2247.59
o2p1-single,RegisterDocument,321,2247.99
o2p1-single,RegisterDocument,322,2248.02
o2p1-single,RegisterDocument,323,2248.09
o2p1-single,RegisterDocument,324,2248.28
o2p1-single,RegisterDocument,325,2248.32
o2p1-single,RegisterDocument,326,2248.41
o2p1-single,RegisterDocument,327,2248.59
o2p1-single,RegisterDocument,328,2249.02
o2p1-single,RegisterDocument,329,2249.13
o2p1-single,RegisterDocument,330,2249.14
o2p1-single,RegisterDocument,331,2249.22
o2p1-single,RegisterDocument,332,2249.48
o2p1-single,RegisterDocument,333,2249.50
o2p1-single,RegisterDocument,334,2249.52
o2p1-single,RegisterDocument,335,2249.53
o2p1-single,RegisterDocument,336,2249.56
o2p1-single,RegisterDocument,337,2249.63
o2p1-single,RegisterDocument,338,2249.98
o2p1-single,RegisterDocument,339,2250.11
o2p1-single,RegisterDocument,340,2250.12
o2p1-single,RegisterDocument,341,2250.23
o2p1-single,RegisterDocument,342,2250.36
o2p1-single,RegisterDocument,343,2250.40
o2p1-single,RegisterDocument,344,2250.45
o2p1-single,RegisterDocument,345,2250.56
o2p1-single,RegisterDocument,346,2250.64
o2p1-single,RegisterDocument,347,2250.79
o2p1-single,RegisterDocument,348,2250.86
o2p1-single,RegisterDocument,349,2251.03
o2p1-single,RegisterDocument,350,2251.39
o2p1-single,RegisterDocument,351,2251.41
o2p1-single,RegisterDocument,352,2251.43
o2p1-single,RegisterDocument,353,2251.52
o2p1-single,RegisterDocument,354,2251.63
o2p1-single,RegisterDocument,355,2251.71
o2p1-single,RegisterDocument,356,2251.76
o2p1-single,RegisterDocument,357,2251.77
o2p1-single,RegisterDocument,358,2251.88
o2p1-single,RegisterDocument,359,2251.90
o2p1-single,RegisterDocument,360,2252.10
o2p1-single,RegisterDocument,361,2252.38
o2p1-single,RegisterDocument,362,2252.50
o2p1-single,RegisterDocument,363,2252.79
o2p1-single,RegisterDocument,364,2252.90
o2p1-single,RegisterDocument,365,2252.92
o2p1-single,RegisterDocument,366,2252.93
o2p1-single,RegisterDocument,367,2253.01
o2p1-single,RegisterDocument,368,2253.07
o2p1-single,RegisterDocument,369,2253.16
o2p1-single,RegisterDocument,370,2253.19
o2p1-single,RegisterDocument,371,2253.24
o2p1-single,RegisterDocument,372,2253.52
o2p1-single,RegisterDocument,373,2253.74
o2p1-single,RegisterDocument,374,2253.79
o2p1-single,RegisterDocument,375,2253.89
o2p1-single,RegisterDocument,376,2253.91
o2p1-single,RegisterDocument,377,2253.97
o2p1-single,RegisterDocument,378,2254.40
o2p1-single,RegisterDocument,379,2254.53
o2p1-single,RegisterDocument,380,2254.61
o2p1-single,RegisterDocument,381,2254.73
o2p1-single,RegisterDocument,382,2254.76
o2p1-single,RegisterDocument,383,2254.82
o2p1-single,RegisterDocument,384,2254.82
o2p1-single,RegisterDocument,385,2255.32
o2p1-single,RegisterDocument,386,2255.43
o2p1-single,RegisterDocument,387,2255.48
o2p1-single,RegisterDocument,388,2255.64
o2p1-single,RegisterDocument,389,2255.73
o2p1-single,RegisterDocument,390,2255.76
o2p1-single,RegisterDocument,391,2255.96
o2p1-single,RegisterDocument,392,2255.97
o2p1-single,RegisterDocument,393,2256.16
o2p1-single,RegisterDocument,394,2256.47
o2p1-single,RegisterDocument,395,2256.49
o2p1-single,RegisterDocument,396,2256.53
o2p1-single,RegisterDocument,397,2256.54
o2p1-single,RegisterDocument,398,2256.82
o2p1-single,RegisterDocument,399,2256.87
o2p1-single,RegisterDocument,400,2257.13
o2p1-single,RegisterDocument,401,2257.17
o2p1-single,RegisterDocument,402,2257.25
o2p1-single,RegisterDocument,403,2257.31
o2p1-single,RegisterDocument,404,2257.47
o2p1-single,RegisterDocument,405,2257.55
o2p1-single,RegisterDocument,406,2257.62
o2p1-single,RegisterDocument,407,2257.63
o2p1-single,RegisterDocument,408,2257.67
o2p1-single,RegisterDocument,409,2257.75
o2p1-single,RegisterDocument,410,2257.76
o2p1-single,RegisterDocument,411,2257.78
o2p1-single,RegisterDocument,412,2257.88
o2p1-single,RegisterDocument,413,2257.93
o2p1-single,RegisterDocument,414,2258.05
o2p1-single,RegisterDocument,415,2258.05
o2p1-single,RegisterDocument,416,2258.08
o2p1-single,RegisterDocument,417,2258.12
o2p1-single,RegisterDocument,418,2258.44
o2p1-single,RegisterDocument,419,2258.60
o2p1-single,RegisterDocument,420,2258.65
o2p1-single,RegisterDocument,421,2258.66
o2p1-single,RegisterDocument,422,2258.73
o2p1-single,RegisterDocument,423,2258.76
o2p1-single,RegisterDocument,424,2258.82
o2p1-single,RegisterDocument,425,2258.84
o2p1-single,RegisterDocument,426,2258.92
o2p1-single,RegisterDocument,427,2259.06
o2p1-single,RegisterDocument,428,2259.08
o2p1-single,RegisterDocument,429,2259.12
o2p1-single,RegisterDocument,430,2259.17
o2p1-single,RegisterDocument,431,2259.27
o2p1-single,RegisterDocument,432,2259.31
o2p1-single,RegisterDocument,433,2259.58
o2p1-single,RegisterDocument,434,2259.58
o2p1-single,RegisterDocument,435,2259.69
o2p1-single,RegisterDocument,436,2259.78
o2p1-single,RegisterDocument,437,2259.84
o2p1-single,RegisterDocument,438,2260.08
o2p1-single,RegisterDocument,439,2260.10
o2p1-single,RegisterDocument,440,2260.11
o2p1-single,RegisterDocument,441,2260.18
o2p1-single,RegisterDocument,442,2260.50
o2p1-single,RegisterDocument,443,2260.59
o2p1-single,RegisterDocument,444,2260.60
o2p1-single,RegisterDocument,445,2260.72
o2p1-single,RegisterDocument,446,2260.78
o2p1-single,RegisterDocument,447,2261.00
o2p1-single,RegisterDocument,448,2261.08
o2p1-single,RegisterDocument,449,2261.15
o2p1-single,RegisterDocument,450,2261.23
o2p1-single,RegisterDocument,451,2261.28
o2p1-single,RegisterDocument,452,2261.35
o2p1-single,RegisterDocument,453,2261.50
o2p1-single,RegisterDocument,454,2261.51
o2p1-single,RegisterDocument,455,2261.51
o2p1-single,RegisterDocument,456,2261.54
o2p1-single,RegisterDocument,457,2261.57
o2p1-single,RegisterDocument,458,2261.59
o2p1-single,RegisterDocument,459,2261.61
o2p1-single,RegisterDocument,460,2261.61
o2p1-single,RegisterDocument,461,2261.68
o2p1-single,RegisterDocument,462,2261.82
o2p1-single,RegisterDocument,463,2261.85
o2p1-single,RegisterDocument,464,2262.00
o2p1-single,RegisterDocument,465,2262.10
o2p1-single,RegisterDocument,466,2262.11
o2p1-single,RegisterDocument,467,2262.17
o2p1-single,RegisterDocument,468,2262.32
o2p1-single,RegisterDocument,469,2262.36
o2p1-single,RegisterDocument,470,2262.49
o2p1-single,RegisterDocument,471,2262.61
o2p1-single,RegisterDocument,472,2262.63
o2p1-single,RegisterDocument,473,2262.68
o2p1-single,RegisterDocument,474,2262.76
o2p1-single,RegisterDocument,475,2262.93
o2p1-single,RegisterDocument,476,2262.96
o2p1-single,RegisterDocument,477,2263.07
o2p1-single,RegisterDocument,478,2263.12
o2p1-single,RegisterDocument,479,2263.19
o2p1-single,RegisterDocument,480,2263.23
o2p1-single,RegisterDocument,481,2263.51
o2p1-single,RegisterDocument,482,2263.81
o2p1-single,RegisterDocument,483,2263.90
o2p1-single,RegisterDocument,484,2263.92
o2p1-single,RegisterDocument,485,2263.93
o2p1-single,RegisterDocument,486,2264.05
o2p1-single,RegisterDocument,487,2264.06
o2p1-single,RegisterDocument,488,2264.09
o2p1-single,RegisterDocument,489,2264.22
o2p1-single,RegisterDocument,490,2264.26
o2p1-single,RegisterDocument,491,2264.38
o2p1-single,RegisterDocument,492,2264.43
o2p1-single,RegisterDocument,493,2264.49
o2p1-single,RegisterDocument,494,2264.65
o2p1-single,RegisterDocument,495,2264.81
o2p1-single,RegisterDocument,496,2264.97
o2p1-single,RegisterDocument,497,2265.13
o2p1-single,RegisterDocument,498,2265.15
o2p1-single,RegisterDocument,499,2265.16
o2p1-single,RegisterDocument,500,2265.27
