size_mb,concurrency,source,sample,ok,latency_ms,bytes,error
10,1,remote,15,1,191.5,10485760,
10,1,remote,16,1,214.3,10485760,
10,1,remote,17,1,211.5,10485760,
10,1,remote,18,1,249.4,10485760,
10,1,remote,19,1,222.7,10485760,
10,1,remote,20,1,228.5,10485760,
10,1,remote,21,1,218.6,10485760,
10,1,remote,22,1,229.5,10485760,
10,1,remote,23,1,264.3,10485760,
10,8,remote,0,1,602.0,10485760,
10,8,remote,1,1,557.0,10485760,
10,8,remote,2,1,579.7,10485760,
10,8,remote,3,1,499.7,10485760,
10,8,remote,4,1,548.1,10485760,
10,8,remote,5,1,501.6,10485760,
10,8,remote,6,1,620.1,10485760,
10,8,remote,7,1,550.1,10485760,
10,8,remote,8,1,452.9,10485760,
10,8,remote,9,1,450.8,10485760,
10,8,remote,10,1,492.8,10485760,
10,8,remote,11,1,499.8,10485760,
10,8,remote,12,1,500.5,10485760,
10,8,remote,13,1,483.3,10485760,
10,8,remote,14,1,497.9,10485760,
10,8,remote,15,1,489.7,10485760,
10,8,remote,16,1,463.4,10485760,
10,8,remote,17,1,476.7,10485760,
10,8,remote,18,1,498.1,10485760,
10,8,remote,19,1,544.0,10485760,
10,8,remote,20,1,513.4,10485760,
10,8,remote,21,1,537.5,10485760,
10,8,remote,22,1,508.7,10485760,
10,8,remote,23,1,528.6,10485760,
10,24,remote,0,1,1450.1,10485760,
10,24,remote,1,1,1463.8,10485760,
10,24,remote,2,1,1479.3,10485760,
10,24,remote,3,1,1408.9,10485760,
10,24,remote,4,1,1401.6,10485760,
10,24,remote,5,1,1475.5,10485760,
10,24,remote,6,1,1444.7,10485760,
10,24,remote,7,1,1482.8,10485760,
10,24,remote,8,1,1428.9,10485760,
10,24,remote,9,1,1432.4,10485760,
10,24,remote,10,1,1485.5,10485760,
10,24,remote,11,1,1425.1,10485760,
10,24,remote,12,1,1433.9,10485760,
10,24,remote,13,1,1440.7,10485760,
10,24,remote,14,1,1453.2,10485760,
10,24,remote,15,1,1476.0,10485760,
10,24,remote,16,1,1347.1,10485760,
10,24,remote,17,1,1434.1,10485760,
10,24,remote,18,1,1458.5,10485760,
10,24,remote,19,1,1439.3,10485760,
10,24,remote,20,1,1474.7,10485760,
10,24,remote,21,1,1461.2,10485760,
10,24,remote,22,1,1474.9,10485760,
10,24,remote,23,1,1419.0,10485760,
25,1,local,0,1,179.7,26214400,
25,1,local,1,1,175.2,26214400,
25,1,local,2,1,168.5,26214400,
25,1,local,3,1,129.2,26214400,
25,1,local,4,1,131.9,26214400,
25,1,local,5,1,172.5,26214400,
25,1,local,6,1,154.1,26214400,
25,1,local,7,1,205.8,26214400,
25,1,local,8,1,124.3,26214400,
25,1,local,9,1,124.6,26214400,
25,1,local,10,1,177.4,26214400,
25,1,local,11,1,178.6,26214400,
25,1,local,12,1,181.5,26214400,
25,1,local,13,1,179.0,26214400,
25,1,local,14,1,121.4,26214400,
25,1,local,15,1,209.0,26214400,
25,1,local,16,1,123.3,26214400,
25,1,local,17,1,129.8,26214400,
25,1,local,18,1,120.2,26214400,
25,1,local,19,1,138.8,26214400,
25,1,local,20,1,177.6,26214400,
25,1,local,21,1,133.8,26214400,
25,1,local,22,1,159.9,26214400,
25,1,local,23,1,191.5,26214400,
25,8,local,0,1,565.1,26214400,
25,8,local,1,1,723.2,26214400,
25,8,local,2,1,613.4,26214400,
25,8,local,3,1,763.8,26214400,
25,8,local,4,1,774.0,26214400,
25,8,local,5,1,675.9,26214400,
25,8,local,6,1,659.6,26214400,
25,8,local,7,1,797.2,26214400,
25,8,local,8,1,745.6,26214400,
25,8,local,9,1,668.7,26214400,
25,8,local,10,1,752.0,26214400,
25,8,local,11,1,845.8,26214400,
25,8,local,12,1,694.8,26214400,
25,8,local,13,1,813.8,26214400,
25,8,local,14,1,801.8,26214400,
25,8,local,15,1,678.1,26214400,
25,8,local,16,1,680.5,26214400,
25,8,local,17,1,669.9,26214400,
25,8,local,18,1,663.3,26214400,
25,8,local,19,1,683.6,26214400,
25,8,local,20,1,650.2,26214400,
25,8,local,21,1,601.4,26214400,
25,8,local,22,1,550.0,26214400,
25,8,local,23,1,539.9,26214400,
25,24,local,0,1,1947.8,26214400,
25,24,local,1,1,2034.4,26214400,
25,24,local,2,1,1978.8,26214400,
25,24,local,3,1,1916.2,26214400,
25,24,local,4,1,2039.4,26214400,
25,24,local,5,1,1813.5,26214400,
25,24,local,6,1,1906.9,26214400,
25,24,local,7,1,2019.2,26214400,
25,24,local,8,1,2018.1,26214400,
25,24,local,9,1,1991.1,26214400,
25,24,local,10,1,2002.8,26214400,
25,24,local,11,1,1950.2,26214400,
25,24,local,12,1,1979.3,26214400,
25,24,local,13,1,2005.4,26214400,
25,24,local,14,1,1950.5,26214400,
25,24,local,15,1,1971.9,26214400,
25,24,local,16,1,1934.4,26214400,
25,24,local,17,1,1926.7,26214400,
25,24,local,18,1,1862.0,26214400,
25,24,local,19,1,1853.1,26214400,
25,24,local,20,1,1884.4,26214400,
25,24,local,21,1,1854.8,26214400,
25,24,local,22,1,1813.2,26214400,
25,24,local,23,1,1901.6,26214400,
25,1,remote,0,1,536.5,26214400,
25,1,remote,1,1,488.4,26214400,
25,1,remote,2,1,485.9,26214400,
25,1,remote,3,1,449.2,26214400,
25,1,remote,4,1,459.7,26214400,
25,1,remote,5,1,454.6,26214400,
25,1,remote,6,1,458.4,26214400,
25,1,remote,7,1,454.7,26214400,
25,1,remote,8,1,464.6,26214400,
25,1,remote,9,1,453.6,26214400,
25,1,remote,10,1,506.8,26214400,
25,1,remote,11,1,425.4,26214400,
25,1,remote,12,1,435.1,26214400,
25,1,remote,13,1,492.0,26214400,
25,1,remote,14,1,502.1,26214400,
25,1,remote,15,1,515.7,26214400,
25,1,remote,16,1,493.6,26214400,
25,1,remote,17,1,474.4,26214400,
25,1,remote,18,1,479.7,26214400,
25,1,remote,19,1,466.1,26214400,
25,1,remote,20,1,458.8,26214400,
25,1,remote,21,1,421.9,26214400,
25,1,remote,22,1,436.4,26214400,
25,1,remote,23,1,435.4,26214400,
25,8,remote,0,1,1399.1,26214400,
25,8,remote,1,1,1385.1,26214400,
25,8,remote,2,1,1361.5,26214400,
25,8,remote,3,1,1329.9,26214400,
25,8,remote,4,1,1334.7,26214400,
25,8,remote,5,1,1358.2,26214400,
25,8,remote,6,1,1282.7,26214400,
25,8,remote,7,1,1311.0,26214400,
